date,ge4,ge12,ge25,ge50,ge100,ge150,ge200,ge250,ge300
2004-12-31,433405,348413,271843,192183,111190,67154,40135,19111,13379
2005-01-07,434420,349327,272812,192890,111617,67561,40394,19266,13430
2005-01-14,435554,350364,274131,193618,112052,67956,40821,19415,13470
2005-01-21,436371,351202,275009,194412,112567,68232,41726,19491,13526
2005-01-28,437080,352033,275773,195156,113033,68574,42006,19601,13580
2005-02-04,437780,352977,277270,196026,113497,68918,42249,19749,13644
2005-02-11,438843,353806,278758,196660,114011,69244,42574,19824,13691
2005-02-18,439942,354614,279490,197412,114534,69593,42901,19922,13745
2005-02-25,440954,355525,280479,198327,115181,69927,43238,20013,13812
2005-03-04,441973,356472,281305,199041,115625,70215,43506,20164,13864
2005-03-11,443193,357252,282144,199720,116021,70523,43781,20297,13915
2005-03-18,444203,357934,282822,200375,116590,70855,44064,20364,13982
2005-03-25,445426,358608,283570,201030,118015,71203,44379,20494,14045
2005-04-01,446473,359515,284424,201626,119379,71500,44650,20587,14080
2005-04-08,447500,360454,285694,202316,119897,71808,45059,20694,14139
2005-04-15,448543,361430,286490,203107,120386,72163,45390,20833,14188
2005-04-22,449623,362349,287258,203889,120796,72545,45676,20932,14236
2005-04-29,450736,363496,288051,204681,121327,72888,45936,21069,14290
2005-05-06,451858,364487,288827,205426,121760,73246,46285,21191,14332
2005-05-13,452767,365671,289575,206065,122161,73599,46574,21339,14384
2005-05-20,453808,366668,290401,206853,122735,73989,46856,21449,14444
2005-05-27,454826,367659,291265,207587,123191,74351,47127,21575,14486
2005-06-03,455766,368646,291944,209925,123623,74698,47395,21702,14529
2005-06-10,456739,369614,292535,212370,124058,75068,47698,21832,14594
2005-06-17,457687,370700,293171,213137,125326,75403,47971,21941,14649
2005-06-24,458577,371809,294045,214065,125813,75665,48273,22053,14722
2005-07-01,459590,372648,294994,215270,126262,75994,48545,22166,14769
2005-07-08,460752,373655,295917,216086,126679,76422,48814,22273,14821
2005-07-15,461761,374689,296785,216802,127097,76788,49139,22419,14883
2005-07-22,462746,375603,297853,218126,127635,77438,49393,22543,14956
2005-07-29,463816,376569,298783,219442,128221,77876,49787,22679,15031
2005-08-05,464705,377419,299885,220109,128945,78375,50151,22791,15084
2005-08-12,465623,378253,300832,221007,129426,79049,50526,22902,15127
2005-08-19,466505,379208,301710,221740,129916,79429,50801,23029,15159
2005-08-26,467527,380194,302637,222488,130417,79808,51142,23154,15210
2005-09-02,469227,381102,303583,223156,130996,80218,51474,23315,15297
2005-09-09,470037,381956,304555,223846,131734,80529,51759,23442,15365
2005-09-16,470936,382968,305589,224551,132349,80971,51999,23730,15465
2005-09-23,471945,383825,306369,225745,132865,81403,52162,26564,15540
2005-09-30,473423,384679,307250,226451,133392,81782,52385,26780,15806
2005-10-07,474508,385522,308130,227119,133896,82104,52602,27135,16133
2005-10-14,475551,386455,308837,227796,134469,82445,52982,27222,16199
2005-10-21,476664,387852,309711,228430,135174,82918,53315,27328,16248
2005-10-28,477793,388593,310478,229105,135572,83305,53712,27472,16327
2005-11-04,478794,389437,311236,229849,135907,83694,54023,28211,16396
2005-11-11,479730,390375,312185,230578,136499,84089,54382,29041,16499
2005-11-18,480888,391503,313072,231149,136995,84467,54737,29234,16584
2005-11-25,482032,392467,313911,231566,137594,84860,55070,33532,16658
2005-12-02,483708,393478,314727,232133,138085,85280,55355,34076,16715
2005-12-09,484832,394523,315581,232976,138661,85772,55642,34346,16779
2005-12-16,485880,395611,316391,233885,139239,86119,55986,34571,16920
2005-12-23,486693,396582,317203,234723,139848,86493,56290,34947,17036
2005-12-30,487694,397463,318017,235466,140398,86867,56531,35747,17102
2006-01-06,488582,398591,318913,236314,141019,87224,56819,35995,17193
2006-01-13,489450,399713,320158,237114,141807,87624,57121,36199,17327
2006-01-20,490432,401111,320853,238065,142369,88021,57413,36459,17395
2006-01-27,491104,402159,321627,238947,143006,88433,57707,36743,17479
2006-02-03,491775,403117,322498,239708,143684,88994,58012,37042,17563
2006-02-10,492829,403875,323515,240560,144298,89381,58265,37262,17701
2006-02-17,494012,404830,324434,241384,144830,89726,58530,37507,17822
2006-02-24,495268,405668,325357,242198,145373,90168,58806,37749,17885
2006-03-03,496548,406478,326309,243099,145904,91135,59100,38033,18007
2006-03-10,498055,407340,327314,243787,146408,91976,59352,38268,18095
2006-03-17,499404,408005,328187,244595,147001,92461,59630,38623,18197
2006-03-24,500515,408677,329017,245335,147622,92834,59934,38913,18327
2006-03-31,501495,409639,330096,245948,148301,93171,60300,39162,18419
2006-04-07,502766,410691,331174,246728,148967,93615,60619,39393,18543
2006-04-14,503806,411849,332441,247390,149549,93996,60926,39693,18655
2006-04-21,504886,413015,333401,248108,150089,94364,61214,39944,18780
2006-04-28,505997,414322,334287,248951,150751,94894,61559,40193,18881
2006-05-05,507261,415546,335027,249707,151360,95278,61882,40420,18995
2006-05-12,508669,416521,335864,250446,153265,95637,62181,40669,19108
2006-05-19,509570,417470,336634,251197,155176,96009,62463,40947,19228
2006-05-26,511210,418653,337465,252023,155858,97370,62767,41176,19329
2006-06-02,512496,419672,338242,252764,156747,97821,63005,41434,19434
2006-06-09,513587,420735,338854,253501,157815,98210,63298,41677,19537
2006-06-16,514842,421808,339483,254267,158453,98575,63674,41907,19635
2006-06-23,515814,423011,340375,255091,159059,98964,63993,42172,19758
2006-06-30,516752,424457,341337,255895,160248,99466,64528,42403,19860
2006-07-07,517963,425350,342364,256552,161321,99961,64912,42760,19977
2006-07-14,519120,426422,343499,257177,161756,100601,65348,43022,20075
2006-07-21,520465,427401,344525,257943,162569,101040,65940,43355,20180
2006-07-28,521568,428183,345551,258874,163162,101468,66283,43607,20293
2006-08-04,522428,429216,346397,259739,163804,101877,66618,43896,20410
2006-08-11,523456,430160,347242,260570,164384,102401,66983,44199,20560
2006-08-18,524416,431077,348346,261421,164991,103009,67261,44455,20682
